Year,Tournament,Series Number,Course,Hole Number,Hole Type,Sponsor,Amount,Push,Ace,Winner,Player 1,Player 2,Player 3,Player 4,Host,Ace Pot
2020,Veterans Park Open,#16,Veterans Park,5,Skin,OTB Discs,250,1,0,,,,,,,
2020,Veterans Park Open,#16,Veterans Park,5,CTP,Six Sided Discs,50,0,0,Gregg Barsby,,,,,,
2020,Veterans Park Open,#16,Veterans Park,6,Skin,OTB Discs,300,0,0,Gregg Barsby,,,,,,
2020,Veterans Park Open,#16,Veterans Park,7,Skin,OTB Discs,50,1,0,,,,,,,
2020,Veterans Park Open,#16,Veterans Park,8,Skin,OTB Discs,100,1,0,,,,,,,
2020,Veterans Park Open,#16,Veterans Park,8,Longest Drive,Flight Factory,50,0,0,Bradley Williams,,,,,,
2020,Veterans Park Open,#16,Veterans Park,9,Skin,OTB Discs,150,1,0,,,,,,,
2020,Veterans Park Open,#16,Veterans Park,10,Skin,OTB Discs,200,1,0,,,,,,,
2020,Veterans Park Open,#16,Veterans Park,11,Skin,OTB Discs,250,1,0,,,,,,,
2020,Veterans Park Open,#16,Veterans Park,12,Skin,OTB Discs,300,0,0,Nolan Grider,,,,,,
2020,Veterans Park Open,#16,Veterans Park,12,CTP,Texas Chain Wreck,50,0,0,Nolan Grider,,,,,,
2020,Veterans Park Open,#16,Veterans Park,13,Skin,OTB Discs,50,0,0,Gregg Barsby,,,,,,
2020,Veterans Park Open,#16,Veterans Park,14,Skin,OTB Discs,50,1,0,,,,,,,
2020,Veterans Park Open,#16,Veterans Park,15,Skin,OTB Discs,100,1,0,,,,,,,
2020,Veterans Park Open,#16,Veterans Park,16,Skin,OTB Discs,150,1,0,,,,,,,
2020,Veterans Park Open,#16,Veterans Park,16,CTP,Tree Love DG,50,0,0,Nate Perkins,,,,,,
2020,Veterans Park Open,#16,Veterans Park,17,Skin,OTB Discs,200,1,0,,,,,,,
2020,Veterans Park Open,#16,Veterans Park,17,CTP,Flight Factory,50,0,0,Gregg Barsby,,,,,,
2020,Veterans Park Open,#16,Veterans Park,18,Skin,OTB Discs,250,0,0,Nate Perkins,,,,,,
